Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	
ECG_LL-RA_24BIT	ECG_LL-RA_24BIT	System_Timestamp_Plot_Zeroed	ECG_LL-LA_24BIT	ECG_LL-LA_24BIT	Timestamp	Timestamp	ECG_Vx-RL_24BIT	ECG_Vx-RL_24BIT	ECG_LA-RA_24BIT	ECG_LA-RA_24BIT	ECG_EMG_Status1	ECG_EMG_Status1	ECG_EMG_Status2	ECG_EMG_Status2	
CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	
mV	no_units	ms	no_units	mV	ms	Ticks	mV	no_units	mV	no_units	no_units	no_units	no_units	no_units	
-605.0000721216288	-8388608.0	328.125	-8421753.0	-607.3905435074024	116606.0791015625	3820948.0	-605.0000721216288	-8388608.0	2.3904713857735858	33145.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	332.03125	-8419769.0	-607.2474541959112	116609.9853515625	3821076.0	-605.0000721216288	-8388608.0	2.2473820742824167	31161.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	335.9375	-8420248.0	-607.2820004560948	116613.8916015625	3821204.0	-605.0000721216288	-8388608.0	2.2819283344660204	31640.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	339.84375	-8420422.0	-607.2945496195018	116617.7978515625	3821332.0	-605.0000721216288	-8388608.0	2.2944774978730083	31814.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	343.75	-8418697.0	-607.1701398098636	116621.7041015625	3821460.0	-605.0000721216288	-8388608.0	2.170067688234769	30089.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	347.65625	-8414874.0	-606.8944188230537	116625.6103515625	3821588.0	-605.0000721216288	-8388608.0	1.894346701424921	26266.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	351.5625	-8412711.0	-606.7384197400118	116629.5166015625	3821716.0	-605.0000721216288	-8388608.0	1.7383476183828854	24103.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	355.46875	-8412599.0	-606.7303421175889	116633.4228515625	3821844.0	-605.0000721216288	-8388608.0	1.7302699959599968	23991.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	359.375	-8412816.0	-606.7459925110331	116637.3291015625	3821972.0	-605.0000721216288	-8388608.0	1.7459203894043434	24208.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	363.28125	-8411838.0	-606.6754575580904	116641.2353515625	3822100.0	-605.0000721216288	-8388608.0	1.67538543646162	23230.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	367.1875	-8409606.0	-606.5144820826629	116645.1416015625	3822228.0	-605.0000721216288	-8388608.0	1.514409961034055	20998.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	371.09375	-8407651.0	-606.3734842984062	116649.0478515625	3822356.0	-605.0000721216288	-8388608.0	1.373412176777384	19043.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	375.0	-8407647.0	-606.3731958118912	116652.9541015625	3822484.0	-605.0000721216288	-8388608.0	1.3731236902622808	19039.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	378.90625	-8408299.0	-606.4202191138529	116656.8603515625	3822612.0	-605.0000721216288	-8388608.0	1.4201469922240963	19691.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	382.8125	-8405157.0	-606.1936129562393	116660.7666015625	3822740.0	-605.0000721216288	-8388608.0	1.1935408346105618	16549.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	386.71875	-8397014.0	-605.6063265331181	116664.6728515625	3822868.0	-605.0000721216288	-8388608.0	0.6062544114892974	8406.0	128.0	128.0	128.0	128.0	
-568.102718961563	-7877009.0	390.625	-7877475.0	-568.1363276405725	116668.5791015625	3822996.0	-605.0000721216288	-8388608.0	0.033608679009518506	466.0	128.0	128.0	128.0	128.0	
